          x_f      vx_f       y_f      vy_f
 2.943030e-02  2.683768 -0.048286 -3.712064
-3.464168e-02 -2.791328 -0.079105 -5.248470
-2.052458e-02 -1.646617 -0.044448 -3.715515
-6.044736e-02 -4.202379 -0.011015 -0.739014
-2.806611e-02 -2.827970 -0.021529 -2.408498
-2.195151e-02 -1.770991  0.041328  3.256219
-4.650666e-02 -3.824508 -0.012367 -1.087535
-4.570914e-03 -0.435856 -0.036977 -3.835654
 6.680964e-02  5.052550 -0.022938 -1.561078
-5.366994e-02 -3.636664  0.007044  0.562563
 6.040962e-02  5.296155 -0.009404 -0.783047
 2.543104e-02  2.211338  0.040636  3.410180
-3.077374e-02 -2.515688  0.070903  5.001155
 2.272902e-02  2.193783 -0.056086 -4.984385
 2.490712e-02  2.918651  0.014345  1.577626
-2.740553e-02 -2.277056  0.037109  3.138141
 6.829490e-03  0.750353  0.034738  3.814785
-2.355508e-02 -2.264773  0.036747  3.094098
 3.805422e-02  3.909545  0.021466  2.135971
-1.929979e-02 -2.518544 -0.019964 -2.553863
 4.124449e-02  4.102271 -0.010362 -1.029481
 1.479293e-02  1.188594  0.054051  4.568611
 3.807637e-02  3.212586  0.036525  3.273435
 1.837261e-02  1.747633 -0.032198 -2.950171
 1.629580e-02  1.633492  0.035998  3.592107
-5.609723e-02 -4.936384 -0.023842 -2.021174
 6.050728e-02  4.333941  0.006811  0.531422
 1.941945e-02  1.998407 -0.044884 -4.423145
 7.151328e-03  0.836651  0.033871  3.794628
 2.903706e-02  3.122024  0.021666  2.309826
-2.838767e-02 -2.541529 -0.034316 -2.930987
 3.470835e-02  3.745933 -0.004175 -0.463482
 5.176990e-02  3.709984 -0.036577 -2.411773
-3.559187e-02 -3.783726 -0.009438 -1.087366
-3.709865e-02 -3.529097  0.017735  1.776124
-8.359403e-03 -0.826492 -0.045107 -3.772869
 2.567141e-02  2.900268  0.014377  1.228595
-2.314500e-02 -2.102316  0.041529  3.865845
 6.824353e-02  5.853081  0.000562  0.045907
 2.777154e-02  2.711769  0.035496  3.580755
 3.792529e-02  3.475491  0.027897  2.702615
 3.586924e-02  3.377628 -0.036363 -3.136178
-2.856958e-02 -2.557915  0.061729  5.356259
 3.188495e-02  2.352175 -0.057530 -4.230929
-7.560594e-03 -0.293819  0.050009  4.057103
-4.146890e-02 -2.812879 -0.051521 -4.131002
 2.779725e-02  2.572486  0.026719  2.124960
-2.069515e-02 -1.819999  0.048875  4.399016
 4.639865e-02  3.607316  0.008666  0.023614
-2.833023e-02 -3.180744 -0.026969 -2.905640
-1.889940e-02 -1.838356 -0.042643 -3.806048
-2.697878e-02 -2.901726 -0.028001 -2.976333
-4.453633e-02 -4.495026 -0.003765 -0.417522
 1.153229e-02  1.085695 -0.034939 -3.583517
-3.981295e-02 -3.121315  0.036217  3.170325
 2.658860e-02  2.511807  0.034822  3.369619
 4.095709e-02  4.009192  0.019184  1.918869
-2.561784e-02 -1.975756  0.063452  5.187446
 3.746401e-02  2.843415  0.034511  2.706603
-3.509473e-02 -3.353412 -0.031793 -3.061553
-5.085524e-02 -4.887234 -0.015917 -1.479904
 2.599057e-02  2.334656  0.037174  3.569822
 4.307271e-02  3.664821 -0.023786 -1.963295
 3.354602e-02  3.502715  0.016633  1.736177
 3.740338e-02  3.079199  0.018192  1.261479
-8.135358e-03 -0.831952 -0.066381 -4.939453
-1.089311e-02 -0.828448  0.036004  3.482750
 1.211383e-02  1.136767 -0.052865 -4.781388
 4.254714e-03  0.322515 -0.048091 -4.558462
-3.278010e-02 -3.420524  0.017036  1.779623
 1.558992e-02  1.376252 -0.043027 -3.717319
-9.685033e-03 -0.949407  0.041529  3.783737
-1.840722e-02 -1.635318  0.041177  2.910520
-1.717152e-02 -1.815697 -0.031553 -3.354440
-5.415739e-02 -3.801555 -0.029875 -1.940496
 5.833427e-02  4.992152  0.011020  0.888491
 9.547328e-03  0.923890 -0.047106 -3.623116
-5.300769e-02 -4.671369 -0.009469 -0.823566
 2.366588e-02  2.547471  0.033929  3.591941
-3.067424e-02 -2.969318  0.042328  3.371776
-4.341363e-02 -3.384782  0.026041  1.951665
 5.226635e-02  3.921002 -0.030023 -2.383333
-3.956209e-02 -3.583543 -0.008333 -0.763677
 1.813045e-02  1.609391  0.029395  2.242801
 2.957305e-02  2.761017 -0.036843 -3.037023
 5.274684e-02  4.371300 -0.037237 -3.022357
 2.778612e-02  2.845140  0.025308  2.544344
-2.457477e-02 -2.489709 -0.037940 -3.890801
 2.228500e-02  2.318719 -0.024653 -2.644394
 2.740639e-02  3.300303  0.012066  1.458113
-4.402492e-02 -4.423027 -0.010204 -1.088340
-5.644089e-02 -5.163360  0.013158  1.221076
 2.513301e-02  1.960928  0.048324  3.940022
 6.586425e-03  0.741319  0.047886  4.611816
-2.308768e-02 -1.645072  0.056773  4.346190
-5.084351e-02 -4.263684 -0.048559 -4.117524
-2.534225e-02 -2.805372  0.024816  2.746796
-1.840786e-02 -1.492692  0.051105  4.317043
 4.039329e-02  3.813537 -0.027400 -2.506612
-4.516708e-02 -4.001186 -0.000429  0.106624
-3.660133e-02 -2.661687 -0.039039 -2.794373
-4.615706e-02 -4.411007  0.006496  0.671053
 1.879356e-02  1.970688  0.032580  3.467052
 4.785601e-02  3.839572  0.001502  0.003217
-4.521344e-02 -3.646680 -0.026470 -2.573852
 8.543600e-03  0.749838 -0.058494 -5.318786
 3.046310e-02  3.602786  0.011026  1.290169
 8.076373e-03  0.540901  0.043322  3.301032
-5.569882e-03 -0.666520  0.031178  3.729428
-1.922038e-02 -1.972704 -0.046036 -4.522059
 3.526448e-02  3.287598  0.007127  0.682329
-1.603275e-02 -1.369133 -0.051025 -3.980580
 3.953239e-02  4.153551 -0.003949 -0.281092
 4.513032e-02  4.337588 -0.019618 -1.845124
-3.396673e-02 -3.800491  0.010077  1.136264
-3.069717e-02 -2.664136  0.052061  4.588318
 3.750196e-02  3.936795  0.008259  0.983042
-4.408192e-02 -3.930324 -0.000650 -0.064718
-9.172776e-03 -0.992977  0.037730  4.093105
 4.276758e-02  3.803709 -0.001874  0.040269
-2.949086e-02 -2.614185  0.050018  4.191943
 4.389955e-02  4.256480  0.000354  0.028724
-3.143236e-02 -2.905618  0.031396  3.074725
-4.380770e-03 -0.417917  0.061892  5.356241
 3.396394e-02  3.415823  0.017580  1.950429
-2.990327e-02 -3.423023  0.002388  0.277005
-3.406226e-02 -3.138440  0.024082  2.172075
-1.860621e-02 -1.401889  0.044460  3.686150
-4.463662e-02 -4.188900  0.028629  2.671919
 3.741892e-02  4.061241 -0.000634 -0.040810
 6.781624e-03  0.612651  0.042992  3.911960
-4.255447e-02 -3.946631  0.019983  1.879243
 1.655147e-02  1.431509  0.049378  4.618315
-3.603946e-02 -3.866047 -0.007902 -0.969345
-3.055148e-02 -2.748216 -0.021269 -1.888382
 2.815384e-02  3.242658  0.017692  2.044823
 3.201861e-02  3.404457 -0.019437 -2.062285
 1.068157e-02  1.278200 -0.042900 -3.689593
 4.664150e-02  4.050073 -0.013196 -1.206386
 4.750664e-02  3.505677  0.029997  2.561476
-4.010931e-02 -3.924264 -0.012703 -1.363018
-3.702905e-02 -3.760431 -0.009896 -0.913008
-1.735407e-02 -1.724473 -0.036984 -3.697259
-4.852059e-03 -0.342018 -0.055391 -3.902955
 3.690819e-02  3.772943 -0.025787 -2.522350
-3.559854e-03 -0.263252 -0.052064 -3.877800
-3.345057e-02 -3.341088  0.028191  2.755252
 7.373329e-03  0.638532 -0.060738 -5.212872
 7.537364e-03  0.721264 -0.036739 -3.604033
-2.438093e-02 -2.119298 -0.050922 -4.662344
-4.516595e-02 -4.009435  0.033796  3.157001
-6.557676e-02 -5.455981  0.002705  0.102799
 3.090906e-02  2.864881 -0.030536 -2.803911
 3.423223e-02  3.087687 -0.001659 -0.360260
 4.787073e-03  0.410587 -0.051693 -3.694460
 4.840611e-02  3.283137 -0.027236 -1.628063
-2.109057e-02 -1.813368 -0.040326 -3.475885
 1.195068e-02  0.863052 -0.040227 -3.453286
-4.865138e-02 -4.025659 -0.016099 -1.569536
 2.159592e-02  2.284232  0.028741  2.734999
-4.594416e-02 -3.667219 -0.016545 -1.496922
-1.406725e-02 -1.441209  0.055657  5.064550
-4.118970e-02 -4.225421 -0.004732 -0.519637
-3.257455e-02 -3.625710  0.006024  0.674456
 6.024726e-02  4.722766  0.032104  2.206343
-2.838526e-02 -2.691028 -0.029648 -2.820003
