          x_f      vx_f           y_f      vy_f
 2.138321e-03 -0.593825  6.617661e-03 -0.069293
-4.979303e-03  1.495831  8.774136e-04  0.543265
-6.973869e-05  0.055655  8.740044e-03  2.514111
 3.573849e-03 -1.038779  3.731496e-03 -0.311681
 6.790260e-03 -0.580090  5.685471e-03  0.055244
-2.747165e-03 -1.004050  6.323188e-03 -0.157594
 5.936280e-04  0.594828  1.512359e-03  0.566192
-1.308899e-04  1.244046  6.989760e-05  0.017201
-1.001621e-03  1.059208 -2.071654e-03 -0.334582
 1.464561e-03  0.796037 -7.428201e-04 -1.200770
 1.480176e-02  1.905218  6.660063e-03  0.590017
-1.233974e-03 -0.368146 -1.522905e-03 -0.426910
 8.381783e-04  0.098333 -1.187829e-04  0.039431
 6.394455e-03 -1.164619 -8.421707e-03 -0.831504
 3.851099e-03  2.438103  8.150422e-03 -1.655889
-2.276367e-03 -0.010555  8.095091e-03 -0.083228
-4.009108e-04 -0.192330  7.206173e-03  2.852935
-1.244907e-03 -0.113363  1.099826e-02  1.033381
 1.393625e-03  0.665609  5.234588e-04 -0.353876
 6.833604e-03  0.197280 -3.652054e-03 -0.162398
 5.230127e-03  1.561426 -5.000143e-05  0.124879
-8.459829e-04 -0.660072  4.114717e-04  0.658796
-3.449173e-03  0.128160  1.799808e-02  1.059726
-7.102295e-03 -0.507881 -9.620983e-03 -2.099330
-2.507774e-03 -0.194593 -5.103089e-03 -0.423200
-1.170227e-03 -0.162152  1.120466e-02  1.313949
-9.479158e-03 -1.583153 -5.879969e-03 -0.402418
-1.188304e-02 -0.687534  1.345562e-03  0.142344
-3.811438e-03  1.037877 -5.956274e-03  0.263892
-8.425274e-03  1.080294  7.153453e-03  0.312848
-1.047289e-02 -1.075781  1.581130e-03  0.141850
-8.109035e-03 -0.382860  5.999481e-03  0.790393
-2.174968e-03 -2.505519  4.000930e-03  1.955301
-1.639055e-03 -0.446212  3.122639e-03 -0.109400
 3.242525e-03  1.963124 -1.386621e-02 -0.121891
 1.050806e-02  1.189004  1.165731e-02  0.567329
 1.184386e-03  0.350681  7.015819e-03  0.902558
 4.517716e-03 -0.531590 -3.979108e-03  0.341631
-1.052411e-02 -0.705377  2.101609e-04  0.003194
 7.120312e-03  1.232404  1.078698e-02  0.064358
-1.078291e-03 -0.209340 -8.592283e-03 -1.319438
 3.263858e-03  0.766548 -1.000514e-02 -0.329854
 1.459042e-02 -0.972363  2.733371e-03 -1.362305
-7.002668e-03 -1.580526  6.626535e-03  1.271981
-1.980557e-04 -1.120959 -8.198324e-04 -1.115573
-4.235796e-03 -2.261229  9.973821e-03 -0.456368
-7.344174e-04  1.224860  4.437969e-05 -0.067580
 9.123324e-03  1.581538  1.104913e-03  0.725270
 8.741124e-03  0.830053  1.457775e-03 -1.237074
-7.709253e-03  0.562088  2.396633e-03  0.375822
 7.289519e-03  0.619009 -4.792391e-03 -1.094063
-8.151587e-04 -0.945477  7.043627e-04  0.516452
 4.770650e-04 -0.021629 -7.973176e-03  0.691641
 5.506187e-03 -0.894059 -3.317747e-03 -2.033119
-1.528601e-03  1.506443 -2.987389e-03  1.198019
 1.716799e-03  0.586764 -1.165689e-03 -0.530563
-1.395635e-03  0.399254 -3.528282e-03  1.009961
 2.274251e-03  2.220152  1.753256e-03  1.000245
-6.793554e-03  2.077290 -2.472327e-03 -1.456042
 3.885407e-04  0.277788 -5.463024e-03 -0.393336
-3.065001e-03 -0.514943 -1.656104e-02 -1.408921
 3.975879e-03 -0.415970 -4.965514e-03  0.295967
-6.775462e-03  1.686196  5.912991e-03 -0.037311
-1.000243e-02  0.752937 -2.423757e-03 -0.655762
 3.829889e-03 -0.332771 -2.225956e-03  0.471549
-1.709874e-03 -0.352389  9.341709e-04  0.697230
 1.374659e-02  1.452765 -4.263970e-03 -0.634254
-3.477111e-03 -0.748742 -3.829157e-03 -1.706752
 1.420046e-03  0.393441  9.050082e-04 -0.267827
-6.179086e-03  0.091985 -1.175888e-02  0.804402
 7.822211e-03  0.222987  4.130820e-03  0.294010
 2.878866e-03 -0.132998  2.848337e-03 -0.703109
 4.546251e-04  0.254860  9.653708e-03  0.470387
 3.341975e-03  0.024023 -6.001830e-03  0.278991
 1.043327e-05  0.461490  3.390601e-03 -0.514689
-1.843897e-03 -0.695024 -3.085799e-04  2.815047
 1.877806e-03 -0.000605 -1.535297e-04  0.083275
-1.989564e-03 -0.808882  8.284148e-03  0.359999
 7.592703e-03 -0.300414  1.159996e-04  0.027884
 5.617058e-03 -0.060587 -3.103571e-03 -1.815448
 6.649581e-04 -0.660393  3.224818e-03 -0.503629
 7.867745e-04  1.767278  6.648123e-03 -0.182340
 4.773886e-03  0.195308 -1.632491e-02  0.154336
-1.505564e-03  0.586755 -1.352783e-03  0.105651
 4.113304e-03  0.842094 -7.191304e-04  0.943025
 1.427929e-02  0.385231 -1.057697e-02 -1.307629
 2.232635e-04 -0.018911  9.505083e-03  0.320248
-9.461601e-04 -0.468915  2.115025e-03 -0.603153
-6.551860e-03 -0.678884 -8.267239e-03  0.787725
 1.231395e-03 -0.433373  8.116473e-03  2.544156
-4.318915e-03  0.905134 -6.930212e-03  0.843894
-4.289336e-03  0.362214  3.703335e-03 -0.828184
-1.024793e-02 -2.035423  4.692445e-04  0.189535
 4.944063e-04 -0.034393  1.258382e-03  0.943191
 8.277247e-05 -0.116263 -3.398056e-03 -0.370532
-1.501554e-03 -0.203830 -2.763324e-03 -0.497451
 1.307882e-02 -0.600923 -1.697910e-03  0.651467
 1.344866e-03  0.122006  6.862430e-03  0.723915
 7.808846e-03  2.093986 -4.614130e-03 -1.242555
 8.512334e-03  1.255749  1.127646e-02  0.523954
 3.222592e-03 -0.253950  6.780820e-04 -1.170323
-2.438194e-03 -0.571017 -1.157498e-03 -0.500800
 1.263376e-03  0.734554 -6.869474e-03 -1.957049
 1.507823e-02 -0.654499  1.166558e-03  1.946128
-4.651588e-03 -1.029739  4.106023e-03 -0.382351
-1.224751e-02 -0.454746 -9.183640e-03 -1.812140
 2.662622e-03 -0.992283 -3.735657e-03  0.328938
-4.659584e-03  1.913368 -3.519692e-03  1.823500
 8.656635e-03  0.989453  1.021635e-02  0.114684
-6.189848e-03 -0.389002 -3.941568e-03  0.575295
 1.834453e-03  0.193642  1.782684e-03  0.497829
-6.290878e-03 -1.420583  4.212372e-03 -0.065416
 1.422127e-02 -0.898574  6.107129e-04  1.811200
-7.338900e-03 -0.731543 -7.086570e-04  0.141512
-1.652791e-04  0.030952  4.349973e-04  0.337496
 3.341409e-03  0.245105 -1.036892e-02 -0.359149
 5.502689e-04  0.323766 -2.146033e-03 -0.162802
 4.066045e-04  0.188201  9.187847e-03  0.224006
